,Mean,Dev std,CV
Sebag-Schoenauer,0.9008192372816360,0.006297508246123700,0.00699086785172064
Accuracy,0.9506220743728800,0.0021794735617332800,0.00229268141408463
Prevalence,0.9506220743728800,0.0021794735617332800,0.00229268141408463
Support,0.9506220743728800,0.0021794735617332800,0.00229268141408463
Compliance,0.9506220711662860,0.0021794734722218400,0.00229268132765729
Confidence,0.9506220761053870,0.0021794733337249500,0.00229268117005451
Jaccard,0.9506220811878140,0.002179473204845890,0.00229268102222348
Laplace Correction,0.9419642806187230,0.0020826216778880000,0.00221093487379377
Cosine,0.9752398032617170,0.0005515822391238080,0.000565586266351133
Example and Counterexample Rate,0.9794139246013880,0.0005243043514953000,0.000535324583738879
Least Contradiction,0.7345604451566600,0.00029492119236132600,0.000401493429582133
Interestingness Weighting Dependency,2.16028982667488E-08,6.5044741871559E-15,3.01092663902769E-07
Certainty factor,0.5000000479861520,3.02112660488172E-13,6.04225262987453E-13
Zhang,0.5000000268109960,8.43416317016721E-14,1.68683254358212E-13
Leverage,0.5000000090702720,4.13323212570877E-15,8.26646410145938E-15
One-way Support,0.5000000087120500,1.03728706039543E-15,2.07457408464327E-15
Two-way Support,0.5000000087120490,1.03728700045095E-15,2.07457396475432E-15
Added Value,0.500000004535136,1.03330821258011E-15,2.06661640641545E-15
Piatetsky-Shapiro,0.500000004535136,1.03330821258011E-15,2.06661640641545E-15
Klosgen,0.5000000042737360,9.20537665386252E-16,1.84107531503596E-15
J Measure,0.5000000073832810,6.86343306927391E-16,1.37268659358492E-15
Information Gain,0.5000000068027020,6.26668457801818E-16,1.25333689855148E-15
Lovinger,0.6666666696480230,8.2867194558003E-16,1.24300791281127E-15
Coverage,0.9999999976086950,2.42570468318025E-16,2.42570468898085E-16
Lift,0.5000000078260860,1.11156231710444E-16,2.22312459941215E-16
Conviction,0.5000000030952380,8.84968477979402E-17,1.76993694500205E-16
Odd Multiplier,0.5000000050000000,1.99591313369172E-31,3.99182622746518E-31
Recall,1.0,0.0,0.0