,Mean,Dev Std,CV
Sebag-Schoenauer,0.861505846319816,0.0020530501798698100,0.00238309488976777
Compliance,0.9249894805320810,0.000696413128719769,0.000752887620212904
Jaccard,0.9249894942804780,0.0006964131032955830,0.000752887581536591
Accuracy,0.9249894941500840,0.000696412944925081,0.000752887410429426
Prevalence,0.9249894941500840,0.000696412944925081,0.000752887410429426
Support,0.9249894941500840,0.000696412944925081,0.0007528874104294
Confidence,0.9249894873573770,0.000696412869824218,0.000752887334767247
Laplace Correction,0.9169375824060660,0.0006630277926946030,0.00072308934153926
Cosine,0.9624220816079950,0.00017594325508933600,0.000182812986580039
Example and Counterexample Rate,0.9698384055573610,0.00015956323713049200,0.000164525591290429
Least Contradiction,0.7273788053688400,8.9754288789846E-05,1.23394149138472E-04
Certainty factor,0.49999987553067000,3.62778454402209E-13,7.25557089423628E-13
Zhang,0.49999992959575500,1.14387060744897E-13,2.28774153703137E-13
Leverage,0.49999997161684400,1.83387616775375E-14,3.66775254371229E-14
Added Value,0.4999999858084200,4.584691433807E-15,9.16938312787009E-15
Piatetsky-Shapiro,0.4999999858084200,4.584691433807E-15,9.16938312787009E-15
Klosgen,0.4999999867513850,3.99210886256133E-15,7.98421793668232E-15
Two-way Support,0.49999999492097600,2.81299658592334E-15,5.62599322899579E-15
One-way Support,0.4999999949209810,2.81299623864483E-15,5.62599253443871E-15
Lovinger,0.6666666587678120,2.57148744891604E-15,3.85723121907562E-15
Information Gain,0.49999999574252400,1.80173298621423E-15,3.6034660031118E-15
J Measure,0.4999999960421020,1.75051397629489E-15,3.5010279803032E-15
Coverage,1.0000000052380900,8.56190442595731E-16,8.56190438110928E-16
Lift,0.500000002619047,3.69047648344369E-16,7.38095292822525E-16
Conviction,0.5000000066666660,2.58333335466866E-16,5.16666664044844E-16
Odd Multiplier,0.5000000050000000,5.17689969051289E-32,1.03537992774878E-31
Recall,1.0,0.0,0.0
Interestingness Weighting Dependency,-1.17122445258101E-08,1.64277964442783E-14,-1.40261727016343E-06